"","year","team","week","tpp","L3_tpp"
"4220",2019,"Oklahoma State",12,27.0285714285714,24.9382018597182
"4221",2019,"UT San Antonio",12,23.8571428571429,25.7490318856078
"4222",2019,"Clemson",12,26.7534246575342,25.6947544642857
"4223",2019,"Marshall",12,27.6197183098592,28.6784823056662
"4224",2019,"Georgia State",12,22.0634920634921,23.1611666290274
"4225",2019,"Penn State",12,24.4852941176471,24.6007725730031
"4226",2019,"Western Michigan",12,24.1927710843373,26.7766675413605
"4227",2019,"Mississippi State",12,33.1551724137931,29.0459913485148
"4228",2019,"Vanderbilt",12,26.1428571428571,29.5168345042935
"4229",2019,"Wisconsin",12,31.5151515151515,32.9693416100937
"4230",2019,"UMass",12,23.4805194805195,22.6836409379627
"4231",2019,"BYU",12,28.7,26.6016689033322
"4232",2019,"UTEP",12,25.4857142857143,30.1216170753589
"4233",2019,"Hawai'i",12,28.5,25.6359016810368
"4234",2019,"Utah",12,30.8947368421053,31.7942840942347
"4235",2019,"Texas Tech",12,19.4901960784314,23.2206715131089
"4236",2019,"Toledo",12,21.5263157894737,25.3445228242597
