"","opp_team","week","opp_sacks","year","opp_hur","team","L3_sacks","L3_hurries"
"4554","Air Force",5,4,2021,3,"New Mexico",2.75,3.25
"4555","Alabama",5,2,2021,7,"Ole Miss",2.5,3.5
"4556","Akron",5,2,2021,0,"Ohio",1.25,1
"4557","Appalachian State",5,4,2021,2,"Georgia State",2.75,5.25
"4558","Arizona State",5,4,2021,0,"UCLA",3,3.5
"4559","Arkansas",5,0,2021,0,"Georgia",2.25,4.5
"4560","Arkansas State",5,0,2021,0,"Georgia Southern",2.25,0.5
"4561","Army",5,3,2021,0,"Ball State",2.5,1.75
"4562","Auburn",5,3,2021,6,"LSU",3,2.25
"4563","Ball State",5,0,2021,1,"Army",2.25,0.5
"4564","Baylor",5,1,2021,3,"Oklahoma State",1.25,3
"4565","Boise State",5,4,2021,2,"Nevada",2.25,1.25
"4566","Boston College",5,1,2021,2,"Clemson",1.5,1.75
"4567","Bowling Green",5,0,2021,1,"Kent State",3,2
"4568","Buffalo",5,3,2021,1,"Western Michigan",3.25,2
"4569","BYU",5,3,2021,2,"Utah State",2.25,1
"4570","California",5,2,2021,4,"Washington State",1.5,2.25
"4571","Central Michigan",5,1,2021,1,"Miami (OH)",1.5,2.5
"4572","Charlotte",5,0,2021,2,"Illinois",1.75,5.25
"4573","Cincinnati",5,2,2021,4,"Notre Dame",1.75,2.75
"4574","Clemson",5,4,2021,6,"Boston College",2.25,4.75
"4575","Coastal Carolina",5,3,2021,2,"Louisiana Monroe",2.25,2.25
"4576","Colorado",5,0,2021,3,"USC",1.25,2.5
"4577","Duke",5,5,2021,5,"North Carolina",1.25,4.75
"4578","East Carolina",5,2,2021,3,"Tulane",2.5,3
"4579","Eastern Michigan",5,0,2021,0,"Northern Illinois",2.5,2.5
"4580","Florida",5,2,2021,1,"Kentucky",3.75,4.5
"4581","Florida Atlantic",5,2,2021,5,"Florida International",0.5,1.75
"4582","Florida International",5,0,2021,0,"Florida Atlantic",1.75,1
"4583","Florida State",5,1,2021,1,"Syracuse",3.25,4
"4584","Fresno State",5,1,2021,1,"Hawai'i",3.5,0.5
"4585","Georgia",5,4,2021,0,"Arkansas",3.25,0.75
"4586","Georgia Southern",5,6,2021,5,"Arkansas State",2,3.75
"4587","Georgia State",5,1,2021,3,"Appalachian State",1.5,1.75
"4588","Georgia Tech",5,1,2021,2,"Pittsburgh",2.5,1.75
"4589","Hawai'i",5,3,2021,2,"Fresno State",2.75,3.75
"4590","Houston",5,5,2021,3,"Tulsa",3,3.25
"4591","Illinois",5,3,2021,0,"Charlotte",3,2
"4592","Indiana",5,0,2021,3,"Penn State",1.75,1
"4593","Iowa",5,0,2021,0,"Maryland",3.25,3.75
"4594","Iowa State",5,0,2021,5,"Kansas",2.75,3
"4595","Kansas",5,1,2021,3,"Iowa State",0.5,1.5
"4596","Kansas State",5,2,2021,0,"Oklahoma",3.25,3.75
"4597","Kent State",5,5,2021,1,"Bowling Green",1.25,1
"4598","Kentucky",5,0,2021,3,"Florida",2.25,4.75
"4599","Liberty",5,5,2021,2,"UAB",2.75,1.5
"4600","Louisiana",5,2,2021,1,"South Alabama",2.75,2.75
"4601","Louisiana Monroe",5,0,2021,0,"Coastal Carolina",2.75,2.25
"4602","Louisiana Tech",5,1,2021,4,"NC State",2,3.75
"4603","Louisville",5,2,2021,1,"Wake Forest",2.75,1.75
"4604","LSU",5,0,2021,6,"Auburn",4.5,1.25
"4605","Marshall",5,2,2021,3,"Middle Tennessee",4.5,8.75
"4606","Maryland",5,2,2021,0,"Iowa",4,1.75
