"","player","player_id","position","team_name","player_game_count","attempts","completion_percent","completions","first_downs","franchise_id","interceptions","qb_rating","sacks","touchdowns","yards","ypa","week","year","dk_pts","fd_pts","string","team","head_coach","L3_attempts","L3_completion_percent","L3_completions","L3_first_downs","L3_interceptions","L3_qb_rating","L3_sacks","L3_touchdowns","L3_yards","L3_ypa","L3_dk_pts","L3_fd_pts"
"168","Kado Brown",31112,"QB","GA SOUTHRN",1,7,57.1,4,2,174,1,35.1,1,0,42,6,9,2017,0.68,0.68,1,"Georgia Southern","Chad Lunsford",9,44.4,4,2,1,51.6,4,0,144,16,4.76,4.76
"169","Kado Brown",31112,"QB","GA SOUTHRN",1,7,57.1,4,2,174,1,35.1,1,0,42,6,9,2017,0.68,0.68,1,"Georgia Southern","Tyson Summers",8.33333333333333,48.6333333333333,4,2,1,46.1,3,0,110,12.6666666666667,3.4,3.4
"170","Shai Werts",40384,"QB","GA SOUTHRN",1,5,40,2,3,174,0,68.8,0,0,40,8,9,2017,1.6,1.6,2,"Georgia Southern","Chad Lunsford",9,66.7,6,5,0,91.4,2,0,73,8.1,2.92,2.92
"171","Shai Werts",40384,"QB","GA SOUTHRN",1,5,40,2,3,174,0,68.8,0,0,40,8,9,2017,1.6,1.6,2,"Georgia Southern","Tyson Summers",7.66666666666667,57.8,4.66666666666667,4.33333333333333,0,83.8666666666667,1.33333333333333,0,62,8.06666666666667,2.48,2.48
"172","Conner Manning",39390,"QB","GA STATE",1,32,56.3,18,12,175,0,96.6,0,2,206,6.4,9,2017,16.24,16.24,1,"Georgia State","Shawn Elliott",37.5,68.4,25.5,16,0.5,116.35,2,2.5,350,9.55,25,23.5
"173","TaQuon Marshall",39457,"QB","GA TECH",1,13,23.1,3,2,176,0,39.6,4,0,32,2.5,9,2017,1.28,1.28,1,"Georgia Tech","Paul Johnson",9.5,41.5,4,3.5,0,83.65,2.5,0.5,61.5,6.55,4.46,4.46
"174","Jake Fromm",60389,"QB","GEORGIA",1,7,57.1,4,4,173,1,101.8,0,1,101,14.4,9,2017,7.04,7.04,1,"Georgia","Kirby Smart",26,69.2,18,11,1,121.5,1,2,326,12.5,23.04,20.04
"175","Dru Brown",38491,"QB","HAWAII",1,33,57.6,19,7,180,0,70.3,3,0,160,4.8,9,2017,6.4,6.4,1,"Hawai'i","Nick Rolovich",23,52.2,12,9,0,91.4,0,1,173,7.5,10.92,10.92
"176","D'Eriq King",26636,"QB","HOUSTON",1,21,61.9,13,7,182,0,99.5,4,1,151,7.2,9,2017,10.04,10.04,1,"Houston","Major Applewhite",1,0,0,0,0,39.6,0,0,0,0,0,0
"177","Kyle Postma",32269,"QB","HOUSTON",1,5,40,2,0,182,0,47.9,1,0,5,1,9,2017,0.2,0.2,2,"Houston","Major Applewhite",41.5,67.65,28,16,1.5,76.75,2,0.5,288,7,13.52,12.02
